Vigencia;Unidad;Codigo;Recurso;Concepto;Valor ene;Valor feb;Valor mar;Valor abr;Valor may;Valor jun;Valor jul;Valor ago;Valor sep;Valor oct;Valor nov;Valor dic
05 - CIENCIAS BASICAS;1.1.02.02.116.01.02.01;31;Posgrado - Inscripciones ;30612465;$ 23,600,100.00;$ 2,152,500.00;$ 0.00;$ 5,842,500.00;$ 0.00;$ 7,072,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
05 - CIENCIAS BASICAS;1.1.02.02.116.01.02.02;31;Posgrado - Derechos de grado;41215292;$ 0.00;$ 1,751,000.00;$ 2,626,500.00;$ 0.00;$ 875,500.00;$ 6,128,500.00;$ 875,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
05 - CIENCIAS BASICAS;1.1.02.02.116.01.02.03;31;Posgrado - Matrículas;1408521574;$ 48,273,732.00;$ 323,567,265.00;$ 266,220,199.00;$ 39,356,928.00;$ 78,536,630.00;$ 5,357,342.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
05 - CIENCIAS BASICAS;1.1.02.02.116.01.02.04;31;Posgrado - Certificaciones, constancias académicas y derechos complementarios;1273178;$ 1,055,500.00;$ 1,025,500.00;$ 591,500.00;$ 0.00;$ 307,500.00;$ 307,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.02.116.01.02.01;31;Posgrado - Inscripciones ;111276000;$ 23,791,100.00;$ 615,000.00;$ 307,500.00;$ 12,300,000.00;$ 0.00;$ 7,687,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.02.116.01.02.02;31;Posgrado - Derechos de grado;218394000;$ 0.00;$ 0.00;$ 6,391,100.00;$ 0.00;$ 0.00;$ 14,883,500.00;$ 14,883,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.02.116.01.02.03;31;Posgrado - Matrículas;5018300000;$ 168,112,503.00;$ 1,252,934,924.00;$ 598,279,229.00;$ 60,111,558.00;$ 311,930,132.00;$ 28,838,912.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.02.116.01.02.04;31;Posgrado - Certificaciones, constancias académicas y derechos complementarios;0;$ 1,566,000.00;$ 5,411,500.00;$ 1,882,500.00;$ 0.00;$ 989,000.00;$ 922,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
07 - CIENCIAS DE LA SALUD;1.1.02.02.116.01.02.01;31;Posgrado - Inscripciones ;21238620;$ 3,137,600.00;$ 0.00;$ 0.00;$ 0.00;$ 307,500.00;$ 3,382,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
07 - CIENCIAS DE LA SALUD;1.1.02.02.116.01.02.02;31;Posgrado - Derechos de grado;33309900;$ 0.00;$ 0.00;$ 875,500.00;$ 0.00;$ 0.00;$ 875,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
07 - CIENCIAS DE LA SALUD;1.1.02.02.116.01.02.03;31;Posgrado - Matrículas;2206189622;$ 392,241,682.00;$ 222,004,032.00;$ 67,525,163.00;$ 146,001,270.00;$ 120,838,140.00;$ 11,944,588.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
07 - CIENCIAS DE LA SALUD;1.1.02.02.116.01.02.04;31;Posgrado - Certificaciones, constancias académicas y derechos complementarios;0;$ 353,500.00;$ 532,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
08 - CIENCIAS AGROPECUARIAS;1.1.02.02.116.01.02.01;31;Posgrado - Inscripciones ;44900440;$ 22,432,900.00;$ 3,690,000.00;$ 307,500.00;$ 8,302,500.00;$ 0.00;$ 3,997,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
08 - CIENCIAS AGROPECUARIAS;1.1.02.02.116.01.02.02;31;Posgrado - Derechos de grado;129301900;$ 0.00;$ 875,500.00;$ 1,751,000.00;$ 0.00;$ 0.00;$ 45,526,000.00;$ 14,883,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
08 - CIENCIAS AGROPECUARIAS;1.1.02.02.116.01.02.03;31;Posgrado - Matrículas;2008442150;$ 76,019,883.00;$ 531,455,147.00;$ 297,265,086.00;$ 67,875,327.00;$ 158,871,170.00;$ 40,963,561.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
08 - CIENCIAS AGROPECUARIAS;1.1.02.02.116.01.02.04;31;Posgrado - Certificaciones, constancias académicas y derechos complementarios;2342000;$ 1,468,700.00;$ 2,460,000.00;$ 1,071,000.00;$ 0.00;$ 307,500.00;$ 615,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
09 - INGENIERIA;1.1.02.02.116.01.02.01;31;Posgrado - Inscripciones ;0;$ 57,999,900.00;$ 8,279,700.00;$ 0.00;$ 2,152,500.00;$ 0.00;$ 16,297,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
09 - INGENIERIA;1.1.02.02.116.01.02.02;31;Posgrado - Derechos de grado;0;$ 0.00;$ 0.00;$ 875,500.00;$ 0.00;$ 0.00;$ 44,913,100.00;$ 24,514,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
09 - INGENIERIA;1.1.02.02.116.01.02.03;31;Posgrado - Matrículas;8136426419;$ 170,361,649.00;$ 1,966,636,191.00;$ 1,084,839,289.00;$ 152,999,884.00;$ 451,917,568.00;$ 78,222,316.00;$ 4,127,438.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
09 - INGENIERIA;1.1.02.02.116.01.02.04;31;Posgrado - Certificaciones, constancias académicas y derechos complementarios;0;$ 5,945,900.00;$ 6,215,000.00;$ 4,139,500.00;$ 1,576,000.00;$ 2,565,100.00;$ 4,920,000.00;$ 307,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
10 - DERECHO Y CIENCIAS SOCIALES;1.1.02.02.116.01.02.01;31;Posgrado - Inscripciones ;4612000;$ 1,230,000.00;$ 307,500.00;$ 0.00;$ 0.00;$ 0.00;$ 615,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
10 - DERECHO Y CIENCIAS SOCIALES;1.1.02.02.116.01.02.02;31;Posgrado - Derechos de grado;7686900;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
