Unidad;Código concepto;Concepto;Recurso;Valor inicial;Valor aforo;Total recaudo;Fecha final
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.05.001.09.01.01;Extension;32-Extension;$ 0.00;$ 0.00;$ 76,200,000.00;25/08/2026
07 - CIENCIAS DE LA SALUD;1.1.02.05.001.09.01.01;Extension;32-Extension;$ 0.00;$ 0.00;$ 450,000.00;25/08/2026
08 - CIENCIAS AGROPECUARIAS;1.1.02.05.001.09.01.01;Extension;32-Extension;$ 810,500,000.00;$ 823,714,759.38;$ 79,783,450.00;25/08/2026
09 - INGENIERIA;1.1.02.05.001.09.01.01;Extension;32-Extension;$ 1,575,000,000.00;$ 1,635,316,860.00;$ 34,804,710.00;25/08/2026
12 - SECCIONAL DUITAMA;1.1.02.05.001.09.01.01;Extension;32-Extension;$ 21,050,000.00;$ 21,050,000.00;$ 37,003,741.00;25/08/2026
13 - SECCIONAL SOGAMOSO;1.1.02.05.001.09.01.01;Extension;32-Extension;$ 460,000,000.00;$ 480,000,000.00;$ 285,807,153.00;25/08/2026
11 - ESTUDIOS TECNOLOGICOS Y A DISTANCIA;1.1.02.05.001.09.01.01;Extension;32-Extension;$ 0.00;$ 0.00;$ 1,598,876.00;25/08/2026
02 - INVESTIGACION Y EXTENSION;1.1.02.05.001.00;Agricultura, silvicultura y productos de la pesca;32-Extension;$ 650,000,000.00;$ 650,000,000.00;$ 0.00;25/08/2026
02 - INVESTIGACION Y EXTENSION;1.1.02.05.001.09.01.01;Extension;32-Extension;$ 15,000,000.00;$ 15,000,000.00;$ 25,117,717.00;25/08/2026
02 - INVESTIGACION Y EXTENSION;1.1.02.05.002.00;Agricultura, silvicultura y productos de la pesca;32-Extension;$ 0.00;$ 0.00;$ 330,325,996.45;25/08/2026
15 - SEDE REGIONAL AGUAZUL;1.1.02.05.001.09.01.01;Extension;32-Extension;$ 0.00;$ 0.00;$ 27,244,000.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.05.001.08.01;Convenios con derechos económicos;33-Convenios con derechos;$ 0.00;$ 0.00;$ 537,500,000.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.05.001.08.01;Convenios con derechos económicos;33-Convenios con derechos;$ 0.00;$ 4,877,748,060.24;$ 9,588,987,823.63;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.2.05.02.008;Rendimientos Financieros - Convenios con derechos;33-Convenios con derechos;$ 0.00;$ 0.00;$ 64,481,601.12;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.005;Recursos del balance - Convenios con derechos;33-Convenios con derechos;$ 0.00;$ 8,851,700.00;$ 8,851,700.00;25/08/2026
04 - CIENCIAS DE LA EDUCACION;1.1.02.05.001.08.01;Convenios con derechos económicos;33-Convenios con derechos;$ 0.00;$ 0.00;$ 6,500,000.00;25/08/2026
04 - CIENCIAS DE LA EDUCACION;1.1.02.05.001.08.01;Convenios con derechos económicos;33-Convenios con derechos;$ 0.00;$ 0.00;$ 6,500,000.00;25/08/2026
04 - CIENCIAS DE LA EDUCACION;1.1.02.05.001.08.01;Convenios con derechos económicos;33-Convenios con derechos;$ 0.00;$ 0.00;$ 6,250,000.00;25/08/2026
04 - CIENCIAS DE LA EDUCACION;1.1.02.05.001.08.01;Convenios con derechos económicos;33-Convenios con derechos;$ 0.00;$ 0.00;$ 6,250,000.00;25/08/2026
04 - CIENCIAS DE LA EDUCACION;1.1.02.05.001.08.01;Convenios con derechos económicos;33-Convenios con derechos;$ 0.00;$ 0.00;$ 6,500,000.00;25/08/2026
04 - CIENCIAS DE LA EDUCACION;1.1.02.05.001.08.01;Convenios con derechos económicos;33-Convenios con derechos;$ 0.00;$ 0.00;$ 49,500,000.00;25/08/2026
04 - CIENCIAS DE LA EDUCACION;1.1.02.05.001.08.01;Convenios con derechos económicos;33-Convenios con derechos;$ 0.00;$ 0.00;$ 5,674,059,936.95;25/08/2026
04 - CIENCIAS DE LA EDUCACION;1.1.02.05.001.08.01;Convenios con derechos económicos;33-Convenios con derechos;$ 0.00;$ 0.00;$ 49,471,850.00;25/08/2026
04 - CIENCIAS DE LA EDUCACION;1.1.02.05.001.08.01;Convenios con derechos económicos;33-Convenios con derechos;$ 4,301,415,000.00;$ 11,002,883,270.75;$ 7,612,500.00;25/08/2026
04 - CIENCIAS DE LA EDUCACION;1.2.10.02.005;Recursos del balance - Convenios con derechos;33-Convenios con derechos;$ 0.00;$ 49,439,100.00;$ 49,439,100.00;25/08/2026
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.05.001.08.01;Convenios con derechos económicos;33-Convenios con derechos;$ 0.00;$ 0.00;$ 34,000,000.00;25/08/2026
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.05.001.08.01;Convenios con derechos económicos;33-Convenios con derechos;$ 0.00;$ 0.00;$ 19,800,000.00;25/08/2026
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.05.001.08.01;Convenios con derechos económicos;33-Convenios con derechos;$ 0.00;$ 0.00;$ 30,000,000.00;25/08/2026
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.05.001.08.01;Convenios con derechos económicos;33-Convenios con derechos;$ 0.00;$ 0.00;$ 20,000,000.00;25/08/2026
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.05.001.08.01;Convenios con derechos económicos;33-Convenios con derechos;$ 0.00;$ 0.00;$ 27,000,000.00;25/08/2026
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.05.001.08.01;Convenios con derechos económicos;33-Convenios con derechos;$ 0.00;$ 0.00;$ 20,000,000.00;25/08/2026
